1,2,3,4,5,6,7,8,class
0.03433,0.93133,0.46693,0.98284,0.055192,0.8896,0.44795,0.9724,F18
0.032598,0.9348,0.46849,0.9837,0.049746,0.90051,0.45275,0.97513,F18
0.03352,0.93297,0.46761,0.98324,0.05275,0.8945,0.45004,0.97363,F18
0.034497,0.931,0.46675,0.98275,0.051037,0.89792,0.45161,0.97448,F18
0.036564,0.92688,0.46478,0.98172,0.057971,0.88406,0.4454,0.97101,F18
0.039721,0.92055,0.46192,0.98014,0.062435,0.87512,0.44155,0.96878,F18
0.034665,0.93067,0.46654,0.98267,0.054518,0.89097,0.44846,0.97274,F18
0.033436,0.93313,0.46768,0.98328,0.052469,0.89507,0.45028,0.97377,F18
0.034274,0.93145,0.46693,0.98286,0.053143,0.89372,0.4497,0.97343,F18
0.037849,0.9243,0.46358,0.98108,0.051908,0.8962,0.45079,0.97405,F2
0.035056,0.92989,0.46618,0.98247,0.046714,0.90658,0.45547,0.97664,F2
0.036927,0.92615,0.46444,0.98154,0.051851,0.8963,0.45085,0.97407,F2
0.037989,0.92402,0.46346,0.98101,0.053395,0.89322,0.44946,0.9733,F2
0.038492,0.92302,0.463,0.98075,0.054518,0.89097,0.44846,0.97274,F2
0.040196,0.91961,0.46142,0.9799,0.055669,0.88866,0.44744,0.97217,F2
0.040475,0.91905,0.46118,0.97976,0.055501,0.889,0.44762,0.97225,F2
0.039944,0.92011,0.46167,0.98003,0.055389,0.88922,0.44772,0.97231,F2
0.040726,0.91855,0.46093,0.97964,0.056427,0.88715,0.44676,0.97179,F2
0.04067,0.91866,0.461,0.97966,0.055333,0.88934,0.44774,0.97233,F2
0.039777,0.92045,0.46181,0.98011,0.054153,0.8917,0.44879,0.97292,F2
0.038101,0.92379,0.46338,0.98095,0.052244,0.89551,0.45054,0.97388,F2
0.041173,0.91765,0.46053,0.97941,0.05595,0.8881,0.4472,0.97202,F2
0.038184,0.92363,0.46328,0.98091,0.052076,0.89586,0.45064,0.97396,F2
0.038464,0.92307,0.46302,0.98077,0.053143,0.89373,0.44968,0.97343,F2
0.039832,0.92034,0.46175,0.98008,0.053199,0.89361,0.44964,0.9734,F2
0.03933,0.92134,0.46222,0.98034,0.053283,0.89344,0.44956,0.97336,F2
0.038073,0.92385,0.4634,0.98096,0.053311,0.89338,0.44957,0.97334,F2
0.037849,0.9243,0.4636,0.98108,0.053339,0.89333,0.44954,0.97333,F2
0.038212,0.92357,0.46326,0.98089,0.058084,0.88384,0.44532,0.97096,F2
0.039218,0.92157,0.46232,0.98039,0.06061,0.87884,0.44308,0.96969,F3
0.040028,0.91995,0.46158,0.97999,0.062154,0.87577,0.44173,0.96892,F3
0.041648,0.91671,0.46009,0.97918,0.06426,0.87156,0.43989,0.96787,F3
0.038771,0.92246,0.46273,0.98061,0.061565,0.87695,0.44225,0.96922,F3
0.038994,0.92202,0.46253,0.9805,0.060526,0.87903,0.44316,0.96974,F3
0.038743,0.92252,0.46277,0.98063,0.0612,0.87768,0.44258,0.9694,F3
0.037905,0.9242,0.46353,0.98105,0.0596,0.88089,0.44398,0.9702,F3
0.037598,0.92481,0.46382,0.9812,0.059459,0.88117,0.44411,0.97027,F3
0.037989,0.92403,0.46346,0.98101,0.05988,0.88032,0.44373,0.97006,F3
0.038156,0.9237,0.46331,0.98092,0.060217,0.87966,0.44344,0.96989,F3
0.037514,0.92498,0.4639,0.98124,0.059487,0.88111,0.44407,0.97026,F3
0.039749,0.92051,0.46185,0.98013,0.062267,0.87554,0.44164,0.96887,F3
0.039358,0.92129,0.4622,0.98032,0.061509,0.87707,0.4423,0.96925,F3
0.039218,0.92157,0.46232,0.98039,0.061733,0.87661,0.4421,0.96913,F3
0.040363,0.91928,0.46128,0.97982,0.063137,0.8738,0.44088,0.96843,F3
0.039721,0.92056,0.46186,0.98014,0.062098,0.87588,0.44178,0.96895,F3
0.039916,0.92017,0.46168,0.98004,0.062154,0.87577,0.44173,0.96892,F3
0.040279,0.91945,0.46135,0.97986,0.0628,0.87448,0.44116,0.9686,F3
0.04014,0.91973,0.46147,0.97993,0.062547,0.87498,0.44139,0.96873,F3
0.039637,0.92073,0.46194,0.98018,0.061537,0.877,0.44228,0.96923,F3
0.029218,0.94156,0.47164,0.98539,0.043373,0.9133,0.45852,0.97831,F4
0.03,0.94,0.4709,0.985,0.04371,0.91263,0.45821,0.97814,F4
